date,mode,note,percent_diff,category
2020-07-02,Heavy Goods Vehicles,2,96,Logistics
2020-07-02,All motor vehicles,2,77,All motor vehicles
2020-07-02,National Rail,"3,4",16,Other public
2020-07-02,TfL Tube,5,16,London public
2020-07-02,TfL Bus,"5,7",33,London public
2020-07-02,Bus excl. London,"6,8,9",25,Other public
2020-07-02,Cycling,"10,11",155,Cycling
2020-07-03,Cars,2,75,Cars
2020-07-03,Light Commercial Vehicles,2,87,Logistics
2020-07-03,Heavy Goods Vehicles,2,96,Logistics
2020-07-03,All motor vehicles,2,79,All motor vehicles
2020-07-03,National Rail,"3,4",17,Other public
2020-07-03,TfL Tube,5,20,London public
2020-07-03,TfL Bus,"5,7",35,London public
2020-07-03,Bus excl. London,"6,8,9",25,Other public
2020-07-03,Cycling,"10,11",113.99999999999999,Cycling
2020-07-04,Cars,2,82,Cars
2020-07-04,Light Commercial Vehicles,2,95,Logistics
2020-07-04,Heavy Goods Vehicles,2,101,Logistics
2020-07-04,All motor vehicles,2,84,All motor vehicles
2020-07-04,National Rail,"3,4",17,Other public
2020-07-04,TfL Tube,5,18,London public
2020-07-04,TfL Bus,"5,7",39,London public
2020-07-04,Bus excl. London,"6,8,9",28.999999999999996,Other public
2020-07-04,Cycling,"10,11",178,Cycling
2020-07-05,Cars,2,84,Cars
2020-07-05,Light Commercial Vehicles,2,98,Logistics
2020-07-05,Heavy Goods Vehicles,2,105,Logistics
2020-07-05,All motor vehicles,2,87,All motor vehicles
2020-07-05,National Rail,"3,4",18,Other public
2020-07-05,TfL Tube,5,20,London public
2020-07-05,TfL Bus,"5,7",40,London public
2020-07-05,Bus excl. London,"6,8,9",32,Other public
2020-07-05,Cycling,"10,11",175,Cycling
2020-07-06,Cars,2,79,Cars
2020-07-06,Light Commercial Vehicles,2,93,Logistics
2020-07-06,Heavy Goods Vehicles,2,97,Logistics
2020-07-06,All motor vehicles,2,83,All motor vehicles
2020-07-06,National Rail,"3,4",19,Other public
2020-07-06,TfL Tube,5,19,London public
2020-07-06,TfL Bus,"5,7",37,London public
2020-07-06,Bus excl. London,"6,8,9",28.999999999999996,Other public
2020-07-06,Cycling,"10,11",138,Cycling
2020-07-07,Cars,2,76,Cars
2020-07-07,Light Commercial Vehicles,2,91,Logistics
2020-07-07,Heavy Goods Vehicles,2,97,Logistics
2020-07-07,All motor vehicles,2,80,All motor vehicles
2020-07-07,National Rail,"3,4",19,Other public
2020-07-07,TfL Tube,5,19,London public
2020-07-07,TfL Bus,"5,7",37,London public
2020-07-07,Bus excl. London,"6,8,9",28.999999999999996,Other public
2020-07-07,Cycling,"10,11",109.00000000000001,Cycling
2020-07-08,Cars,2,75,Cars
2020-07-08,Light Commercial Vehicles,2,89,Logistics
2020-07-08,Heavy Goods Vehicles,2,97,Logistics
2020-07-08,All motor vehicles,2,79,All motor vehicles
2020-07-08,National Rail,"3,4",20,Other public
2020-07-08,TfL Tube,5,19,London public
2020-07-08,TfL Bus,"5,7",36,London public
2020-07-08,Bus excl. London,"6,8,9",28.000000000000004,Other public
2020-07-08,Cycling,"10,11",100,Cycling
2020-07-09,Cars,2,76,Cars
2020-07-09,Light Commercial Vehicles,2,89,Logistics
2020-07-09,Heavy Goods Vehicles,2,96,Logistics
2020-07-09,All motor vehicles,2,80,All motor vehicles
2020-07-09,National Rail,"3,4",21,Other public
2020-07-09,TfL Tube,5,19,London public
2020-07-09,TfL Bus,"5,7",37,London public
2020-07-09,Bus excl. London,"6,8,9",28.000000000000004,Other public
2020-07-09,Cycling,"10,11",112.00000000000001,Cycling
2020-07-10,Cars,2,83,Cars
2020-07-10,Light Commercial Vehicles,2,93,Logistics
2020-07-10,Heavy Goods Vehicles,2,96,Logistics
2020-07-10,All motor vehicles,2,86,All motor vehicles
2020-07-10,National Rail,"3,4",21,Other public
2020-07-10,TfL Tube,5,21,London public
2020-07-10,TfL Bus,"5,7",39,London public
2020-07-10,Bus excl. London,"6,8,9",30,Other public
2020-07-10,Cycling,"10,11",133,Cycling
2020-07-11,Cars,2,90,Cars
2020-07-11,Light Commercial Vehicles,2,101,Logistics
2020-07-11,Heavy Goods Vehicles,2,104,Logistics
2020-07-11,All motor vehicles,2,93,All motor vehicles
2020-07-11,National Rail,"3,4",22,Other public
2020-07-11,TfL Tube,5,24,London public
2020-07-11,TfL Bus,"5,7",45,London public
2020-07-11,Bus excl. London,"6,8,9",34,Other public
2020-07-11,Cycling,"10,11",231.99999999999997,Cycling
2020-07-12,Cars,2,95,Cars
2020-07-12,Light Commercial Vehicles,2,108,Logistics
2020-07-12,Heavy Goods Vehicles,2,111.00000000000001,Logistics
2020-07-12,All motor vehicles,2,99,All motor vehicles
2020-07-12,National Rail,"3,4",22,Other public
2020-07-12,TfL Tube,5,24,London public
2020-07-12,TfL Bus,"5,7",45,London public
2020-07-12,Bus excl. London,"6,8,9",37,Other public
2020-07-12,Cycling,"10,11",252,Cycling
2020-07-13,Cars,2,80,Cars
2020-07-13,Light Commercial Vehicles,2,94,Logistics
2020-07-13,Heavy Goods Vehicles,2,98,Logistics
2020-07-13,All motor vehicles,2,84,All motor vehicles
2020-07-13,National Rail,"3,4",23,Other public
2020-07-13,TfL Tube,5,21,London public
2020-07-13,TfL Bus,"5,7",41,London public
2020-07-13,Bus excl. London,"6,8,9",31,Other public
2020-07-13,Cycling,"10,11",110.00000000000001,Cycling
2020-07-14,Cars,2,79,Cars
2020-07-14,Light Commercial Vehicles,2,93,Logistics
2020-07-14,Heavy Goods Vehicles,2,98,Logistics
2020-07-14,All motor vehicles,2,83,All motor vehicles
2020-07-14,National Rail,"3,4",23,Other public
2020-07-14,TfL Tube,5,20,London public
2020-07-14,TfL Bus,"5,7",40,London public
2020-07-14,Bus excl. London,"6,8,9",32,Other public
2020-07-14,Cycling,"10,11",125,Cycling
2020-07-15,Cars,2,79,Cars
2020-07-15,Light Commercial Vehicles,2,93,Logistics
2020-07-15,Heavy Goods Vehicles,2,98,Logistics
2020-07-15,All motor vehicles,2,83,All motor vehicles
2020-07-15,National Rail,"3,4",24,Other public
2020-07-15,TfL Tube,5,21,London public
2020-07-15,TfL Bus,"5,7",40,London public
2020-07-15,Bus excl. London,"6,8,9",31,Other public
2020-07-15,Cycling,"10,11",127,Cycling
2020-07-16,Cars,2,81,Cars
2020-07-16,Light Commercial Vehicles,2,92,Logistics
2020-07-16,Heavy Goods Vehicles,2,98,Logistics
2020-07-16,All motor vehicles,2,85,All motor vehicles
2020-07-16,National Rail,"3,4",25,Other public
2020-07-16,TfL Tube,5,21,London public
2020-07-16,TfL Bus,"5,7",42,London public
2020-07-16,Bus excl. London,"6,8,9",32,Other public
2020-07-16,Cycling,"10,11",165,Cycling
2020-07-17,Cars,2,86,Cars
2020-07-17,Light Commercial Vehicles,2,94,Logistics
2020-07-17,Heavy Goods Vehicles,2,97,Logistics
2020-07-17,All motor vehicles,2,89,All motor vehicles
2020-07-17,National Rail,"3,4",25,Other public
2020-07-17,TfL Tube,5,24,London public
2020-07-17,TfL Bus,"5,7",45,London public
2020-07-17,Bus excl. London,"6,8,9",33,Other public
2020-07-17,Cycling,"10,11",134,Cycling
2020-07-18,Cars,2,91,Cars
2020-07-18,Light Commercial Vehicles,2,103,Logistics
2020-07-18,Heavy Goods Vehicles,2,104,Logistics
2020-07-18,All motor vehicles,2,94,All motor vehicles
2020-07-18,National Rail,"3,4",26,Other public
2020-07-18,TfL Tube,5,28.999999999999996,London public
2020-07-18,TfL Bus,"5,7",50,London public
2020-07-18,Bus excl. London,"6,8,9",37,Other public
2020-07-18,Cycling,"10,11",186,Cycling
2020-07-19,Cars,2,95,Cars
2020-07-19,Light Commercial Vehicles,2,109.00000000000001,Logistics
2020-07-19,Heavy Goods Vehicles,2,111.00000000000001,Logistics
2020-07-19,All motor vehicles,2,98,All motor vehicles
2020-07-19,National Rail,"3,4",26,Other public
2020-07-19,TfL Tube,5,24,London public
2020-07-19,TfL Bus,"5,7",43,London public
2020-07-19,Bus excl. London,"6,8,9",41,Other public
2020-07-19,Cycling,"10,11",194,Cycling
2020-07-20,Cars,2,85,Cars
2020-07-20,Light Commercial Vehicles,2,97,Logistics
2020-07-20,Heavy Goods Vehicles,2,99,Logistics
2020-07-20,All motor vehicles,2,88,All motor vehicles
2020-07-20,National Rail,"3,4",27,Other public
2020-07-20,TfL Tube,5,23,London public
2020-07-20,TfL Bus,"5,7",45,London public
2020-07-20,Bus excl. London,"6,8,9",33,Other public
2020-07-20,Cycling,"10,11",143,Cycling
2020-07-21,Cars,2,83,Cars
2020-07-21,Light Commercial Vehicles,2,95,Logistics
2020-07-21,Heavy Goods Vehicles,2,98,Logistics
2020-07-21,All motor vehicles,2,87,All motor vehicles
2020-07-21,National Rail,"3,4",27,Other public
2020-07-21,TfL Tube,5,23,London public
2020-07-21,TfL Bus,"5,7",45,London public
2020-07-21,Bus excl. London,"6,8,9",34,Other public
2020-07-21,Cycling,"10,11",133,Cycling
2020-07-22,Cars,2,82,Cars
2020-07-22,Light Commercial Vehicles,2,94,Logistics
2020-07-22,Heavy Goods Vehicles,2,98,Logistics
2020-07-22,All motor vehicles,2,85,All motor vehicles
2020-07-22,National Rail,"3,4",27,Other public
2020-07-22,TfL Tube,5,23,London public
2020-07-22,TfL Bus,"5,7",46,London public
2020-07-22,Bus excl. London,"6,8,9",32,Other public
2020-07-22,Cycling,"10,11",151,Cycling
2020-07-23,Cars,2,81,Cars
2020-07-23,Light Commercial Vehicles,2,91,Logistics
2020-07-23,Heavy Goods Vehicles,2,95,Logistics
2020-07-23,All motor vehicles,2,84,All motor vehicles
2020-07-23,National Rail,"3,4",28.000000000000004,Other public
2020-07-23,TfL Tube,5,25,London public
2020-07-23,TfL Bus,"5,7",49,London public
2020-07-23,Bus excl. London,"6,8,9",33,Other public
2020-07-23,Cycling,"10,11",137,Cycling
2020-07-24,Cars,2,88,Cars
2020-07-24,Light Commercial Vehicles,2,96,Logistics
2020-07-24,Heavy Goods Vehicles,2,97,Logistics
2020-07-24,All motor vehicles,2,90,All motor vehicles
2020-07-24,National Rail,"3,4",28.000000000000004,Other public
2020-07-24,TfL Tube,5,25,London public
2020-07-24,TfL Bus,"5,7",49,London public
2020-07-24,Bus excl. London,"6,8,9",35,Other public
2020-07-24,Cycling,"10,11",130,Cycling
2020-07-25,Cars,2,90,Cars
2020-07-25,Light Commercial Vehicles,2,102,Logistics
2020-07-25,Heavy Goods Vehicles,2,105,Logistics
2020-07-25,All motor vehicles,2,92,All motor vehicles
2020-07-25,National Rail,"3,4",28.000000000000004,Other public
2020-07-25,TfL Tube,5,28.000000000000004,London public
2020-07-25,TfL Bus,"5,7",51,London public
2020-07-25,Bus excl. London,"6,8,9",38,Other public
2020-07-25,Cycling,"10,11",115.99999999999999,Cycling
2020-07-26,Cars,2,96,Cars
2020-07-26,Light Commercial Vehicles,2,111.00000000000001,Logistics
2020-07-26,Heavy Goods Vehicles,2,112.00000000000001,Logistics
2020-07-26,All motor vehicles,2,100,All motor vehicles
2020-07-26,National Rail,"3,4",28.999999999999996,Other public
2020-07-26,TfL Tube,5,28.000000000000004,London public
2020-07-26,TfL Bus,"5,7",50,London public
2020-07-26,Bus excl. London,"6,8,9",44,Other public
2020-07-26,Cycling,"10,11",206.99999999999997,Cycling
2020-07-27,Cars,2,80,Cars
2020-07-27,Light Commercial Vehicles,2,93,Logistics
2020-07-27,Heavy Goods Vehicles,2,96,Logistics
2020-07-27,All motor vehicles,2,83,All motor vehicles
2020-07-27,National Rail,"3,4",28.999999999999996,Other public
2020-07-27,TfL Tube,5,24,London public
2020-07-27,TfL Bus,"5,7",45,London public
2020-07-27,Bus excl. London,"6,8,9",31,Other public
2020-07-27,Cycling,"10,11",66,Cycling
2020-07-28,Cars,2,82,Cars
2020-07-28,Light Commercial Vehicles,2,95,Logistics
2020-07-28,Heavy Goods Vehicles,2,97,Logistics
2020-07-28,All motor vehicles,2,86,All motor vehicles
2020-07-28,National Rail,"3,4",28.999999999999996,Other public
2020-07-28,TfL Tube,5,25,London public
2020-07-28,TfL Bus,"5,7",50,London public
2020-07-28,Bus excl. London,"6,8,9",37,Other public
2020-07-28,Cycling,"10,11",113.99999999999999,Cycling
2020-07-29,Cars,2,84,Cars
2020-07-29,Light Commercial Vehicles,2,94,Logistics
2020-07-29,Heavy Goods Vehicles,2,96,Logistics
2020-07-29,All motor vehicles,2,87,All motor vehicles
2020-07-29,National Rail,"3,4",28.999999999999996,Other public
2020-07-29,TfL Tube,5,25,London public
2020-07-29,TfL Bus,"5,7",49,London public
2020-07-29,Bus excl. London,"6,8,9",35,Other public
2020-07-29,Cycling,"10,11",159,Cycling
2020-07-30,Cars,2,86,Cars
2020-07-30,Light Commercial Vehicles,2,94,Logistics
2020-07-30,Heavy Goods Vehicles,2,96,Logistics
2020-07-30,All motor vehicles,2,88,All motor vehicles
2020-07-30,National Rail,"3,4",28.999999999999996,Other public
2020-07-30,TfL Tube,5,26,London public
2020-07-30,TfL Bus,"5,7",49,London public
2020-07-30,Bus excl. London,"6,8,9",36,Other public
2020-07-30,Cycling,"10,11",174,Cycling
2020-07-31,Cars,2,92,Cars
2020-07-31,Light Commercial Vehicles,2,97,Logistics
2020-07-31,Heavy Goods Vehicles,2,95,Logistics
2020-07-31,All motor vehicles,2,93,All motor vehicles
2020-07-31,National Rail,"3,4",30,Other public
2020-07-31,TfL Tube,5,27,London public
2020-07-31,TfL Bus,"5,7",50,London public
2020-07-31,Bus excl. London,"6,8,9",37,Other public
2020-07-31,Cycling,"10,11",124,Cycling
2020-08-01,Cars,2,97,Cars
2020-08-01,Light Commercial Vehicles,2,107,Logistics
2020-08-01,Heavy Goods Vehicles,2,106,Logistics
2020-08-01,All motor vehicles,2,99,All motor vehicles
2020-08-01,National Rail,"3,4",31,Other public
2020-08-01,TfL Tube,5,31,London public
2020-08-01,TfL Bus,"5,7",54,London public
2020-08-01,Bus excl. London,"6,8,9",42,Other public
2020-08-01,Cycling,"10,11",189,Cycling
2020-08-02,Cars,2,99,Cars
2020-08-02,Light Commercial Vehicles,2,113.99999999999999,Logistics
2020-08-02,Heavy Goods Vehicles,2,113.99999999999999,Logistics
2020-08-02,All motor vehicles,2,103,All motor vehicles
2020-08-02,National Rail,"3,4",31,Other public
2020-08-02,TfL Tube,5,28.000000000000004,London public
2020-08-02,TfL Bus,"5,7",54,London public
2020-08-02,Bus excl. London,"6,8,9",47,Other public
2020-08-02,Cycling,"10,11",187,Cycling
2020-08-03,Cars,2,88,Cars
2020-08-03,Light Commercial Vehicles,2,98,Logistics
2020-08-03,Heavy Goods Vehicles,2,97,Logistics
2020-08-03,All motor vehicles,2,90,All motor vehicles
2020-08-03,National Rail,"3,4",32,Other public
2020-08-03,TfL Tube,5,27,London public
2020-08-03,TfL Bus,"5,7",51,London public
2020-08-03,Bus excl. London,"6,8,9",37,Other public
2020-08-03,Cycling,"10,11",124,Cycling
2020-08-04,Cars,2,83,Cars
2020-08-04,Light Commercial Vehicles,2,95,Logistics
2020-08-04,Heavy Goods Vehicles,2,98,Logistics
2020-08-04,All motor vehicles,2,87,All motor vehicles
2020-08-04,National Rail,"3,4",32,Other public
2020-08-04,TfL Tube,5,27,London public
2020-08-04,TfL Bus,"5,7",50,London public
2020-08-04,Bus excl. London,"6,8,9",37,Other public
2020-08-04,Cycling,"10,11",105,Cycling
2020-08-05,Cars,2,84,Cars
2020-08-05,Light Commercial Vehicles,2,96,Logistics
2020-08-05,Heavy Goods Vehicles,2,98,Logistics
2020-08-05,All motor vehicles,2,87,All motor vehicles
2020-08-05,National Rail,"3,4",33,Other public
2020-08-05,TfL Tube,5,28.000000000000004,London public
2020-08-05,TfL Bus,"5,7",51,London public
2020-08-05,Bus excl. London,"6,8,9",37,Other public
2020-08-05,Cycling,"10,11",120,Cycling
2020-08-06,Cars,2,85,Cars
2020-08-06,Light Commercial Vehicles,2,93,Logistics
2020-08-06,Heavy Goods Vehicles,2,96,Logistics
2020-08-06,All motor vehicles,2,88,All motor vehicles
2020-08-06,National Rail,"3,4",33,Other public
2020-08-06,TfL Tube,5,27,London public
2020-08-06,TfL Bus,"5,7",49,London public
2020-08-06,Bus excl. London,"6,8,9",37,Other public
2020-08-06,Cycling,"10,11",157,Cycling
2020-08-07,Cars,2,89,Cars
2020-08-07,Light Commercial Vehicles,2,96,Logistics
2020-08-07,Heavy Goods Vehicles,2,96,Logistics
2020-08-07,All motor vehicles,2,91,All motor vehicles
2020-08-07,National Rail,"3,4",33,Other public
2020-08-07,TfL Tube,5,28.000000000000004,London public
2020-08-07,TfL Bus,"5,7",50,London public
2020-08-07,Bus excl. London,"6,8,9",37,Other public
2020-08-07,Cycling,"10,11",126,Cycling
2020-08-08,Cars,2,98,Cars
2020-08-08,Light Commercial Vehicles,2,108,Logistics
2020-08-08,Heavy Goods Vehicles,2,108,Logistics
2020-08-08,All motor vehicles,2,101,All motor vehicles
2020-08-08,National Rail,"3,4",34,Other public
2020-08-08,TfL Tube,5,32,London public
2020-08-08,TfL Bus,"5,7",54,London public
2020-08-08,Bus excl. London,"6,8,9",45,Other public
2020-08-08,Cycling,"10,11",202,Cycling
2020-08-09,Cars,2,101,Cars
2020-08-09,Light Commercial Vehicles,2,114.99999999999999,Logistics
2020-08-09,Heavy Goods Vehicles,2,115.99999999999999,Logistics
2020-08-09,All motor vehicles,2,105,All motor vehicles
2020-08-09,National Rail,"3,4",34,Other public
2020-08-09,TfL Tube,5,31,London public
2020-08-09,TfL Bus,"5,7",51,London public
2020-08-09,Bus excl. London,"6,8,9",49,Other public
2020-08-09,Cycling,"10,11",189,Cycling
2020-08-10,Cars,2,90,Cars
2020-08-10,Light Commercial Vehicles,2,100,Logistics
2020-08-10,Heavy Goods Vehicles,2,100,Logistics
2020-08-10,All motor vehicles,2,93,All motor vehicles
2020-08-10,National Rail,"3,4",35,Other public
2020-08-10,TfL Tube,5,28.000000000000004,London public
2020-08-10,TfL Bus,"5,7",53,London public
2020-08-10,Bus excl. London,"6,8,9",39,Other public
2020-08-10,Cycling,"10,11",122,Cycling
2020-08-11,Cars,2,86,Cars
2020-08-11,Light Commercial Vehicles,2,97,Logistics
2020-08-11,Heavy Goods Vehicles,2,99,Logistics
2020-08-11,All motor vehicles,2,89,All motor vehicles
2020-08-11,National Rail,"3,4",34,Other public
2020-08-11,TfL Tube,5,28.000000000000004,London public
2020-08-11,TfL Bus,"5,7",49,London public
2020-08-11,Bus excl. London,"6,8,9",40,Other public
2020-08-11,Cycling,"10,11",119,Cycling
2020-08-12,Cars,2,86,Cars
2020-08-12,Light Commercial Vehicles,2,97,Logistics
2020-08-12,Heavy Goods Vehicles,2,99,Logistics
2020-08-12,All motor vehicles,2,89,All motor vehicles
2020-08-12,National Rail,"3,4",35,Other public
2020-08-12,TfL Tube,5,28.000000000000004,London public
2020-08-12,TfL Bus,"5,7",53,London public
2020-08-12,Bus excl. London,"6,8,9",38,Other public
2020-08-12,Cycling,"10,11",129,Cycling
2020-08-13,Cars,2,85,Cars
2020-08-13,Light Commercial Vehicles,2,94,Logistics
2020-08-13,Heavy Goods Vehicles,2,98,Logistics
2020-08-13,All motor vehicles,2,88,All motor vehicles
2020-08-13,National Rail,"3,4",34,Other public
2020-08-13,TfL Tube,5,26,London public
2020-08-13,TfL Bus,"5,7",48,London public
2020-08-13,Bus excl. London,"6,8,9",38,Other public
2020-08-13,Cycling,"10,11",125,Cycling
2020-08-14,Cars,2,89,Cars
2020-08-14,Light Commercial Vehicles,2,97,Logistics
2020-08-14,Heavy Goods Vehicles,2,98,Logistics
2020-08-14,All motor vehicles,2,92,All motor vehicles
2020-08-14,National Rail,"3,4",34,Other public
2020-08-14,TfL Tube,5,28.999999999999996,London public
2020-08-14,TfL Bus,"5,7",53,London public
2020-08-14,Bus excl. London,"6,8,9",39,Other public
2020-08-14,Cycling,"10,11",96,Cycling
2020-08-15,Cars,2,96,Cars
2020-08-15,Light Commercial Vehicles,2,107,Logistics
2020-08-15,Heavy Goods Vehicles,2,107,Logistics
2020-08-15,All motor vehicles,2,98,All motor vehicles
2020-08-15,National Rail,"3,4",33,Other public
2020-08-15,TfL Tube,5,33,London public
2020-08-15,TfL Bus,"5,7",54,London public
2020-08-15,Bus excl. London,"6,8,9",46,Other public
2020-08-15,Cycling,"10,11",135,Cycling
2020-08-16,Cars,2,95,Cars
2020-08-16,Light Commercial Vehicles,2,110.00000000000001,Logistics
2020-08-16,Heavy Goods Vehicles,2,114.99999999999999,Logistics
2020-08-16,All motor vehicles,2,98,All motor vehicles
2020-08-16,National Rail,"3,4",33,Other public
2020-08-16,TfL Tube,5,32,London public
2020-08-16,TfL Bus,"5,7",54,London public
2020-08-16,Bus excl. London,"6,8,9",48,Other public
2020-08-16,Cycling,"10,11",132,Cycling
2020-08-17,Cars,2,88,Cars
2020-08-17,Light Commercial Vehicles,2,100,Logistics
2020-08-17,Heavy Goods Vehicles,2,100,Logistics
2020-08-17,All motor vehicles,2,91,All motor vehicles
2020-08-17,National Rail,"3,4",33,Other public
2020-08-17,TfL Tube,5,30,London public
2020-08-17,TfL Bus,"5,7",53,London public
2020-08-17,Bus excl. London,"6,8,9",41,Other public
2020-08-17,Cycling,"10,11",102,Cycling
2020-08-18,Cars,2,86,Cars
2020-08-18,Light Commercial Vehicles,2,98,Logistics
2020-08-18,Heavy Goods Vehicles,2,99,Logistics
2020-08-18,All motor vehicles,2,89,All motor vehicles
2020-08-18,National Rail,"3,4",33,Other public
2020-08-18,TfL Tube,5,30,London public
2020-08-18,TfL Bus,"5,7",54,London public
2020-08-18,Bus excl. London,"6,8,9",43,Other public
2020-08-18,Cycling,"10,11",107,Cycling
2020-08-19,Cars,2,84,Cars
2020-08-19,Light Commercial Vehicles,2,95,Logistics
2020-08-19,Heavy Goods Vehicles,2,97,Logistics
2020-08-19,All motor vehicles,2,87,All motor vehicles
2020-08-19,National Rail,"3,4",33,Other public
2020-08-19,TfL Tube,5,30,London public
2020-08-19,TfL Bus,"5,7",51,London public
2020-08-19,Bus excl. London,"6,8,9",39,Other public
2020-08-19,Cycling,"10,11",82,Cycling
2020-08-20,Cars,2,89,Cars
2020-08-20,Light Commercial Vehicles,2,98,Logistics
2020-08-20,Heavy Goods Vehicles,2,98,Logistics
2020-08-20,All motor vehicles,2,92,All motor vehicles
2020-08-20,National Rail,"3,4",34,Other public
2020-08-20,TfL Tube,5,31,London public
2020-08-20,TfL Bus,"5,7",55.00000000000001,London public
2020-08-20,Bus excl. London,"6,8,9",43,Other public
2020-08-20,Cycling,"10,11",183,Cycling
2020-08-21,Cars,2,89,Cars
2020-08-21,Light Commercial Vehicles,2,96,Logistics
2020-08-21,Heavy Goods Vehicles,2,95,Logistics
2020-08-21,All motor vehicles,2,91,All motor vehicles
2020-08-21,National Rail,"3,4",34,Other public
2020-08-21,TfL Tube,5,32,London public
2020-08-21,TfL Bus,"5,7",54,London public
2020-08-21,Bus excl. London,"6,8,9",39,Other public
2020-08-21,Cycling,"10,11",62,Cycling
2020-08-22,Cars,2,97,Cars
2020-08-22,Light Commercial Vehicles,2,109.00000000000001,Logistics
2020-08-22,Heavy Goods Vehicles,2,108,Logistics
2020-08-22,All motor vehicles,2,99,All motor vehicles
2020-08-22,National Rail,"3,4",35,Other public
2020-08-22,TfL Tube,5,36,London public
2020-08-22,TfL Bus,"5,7",59,London public
2020-08-22,Bus excl. London,"6,8,9",48,Other public
2020-08-22,Cycling,"10,11",143,Cycling
2020-08-23,Cars,2,99,Cars
2020-08-23,Light Commercial Vehicles,2,114.99999999999999,Logistics
2020-08-23,Heavy Goods Vehicles,2,115.99999999999999,Logistics
2020-08-23,All motor vehicles,2,103,All motor vehicles
2020-08-23,National Rail,"3,4",36,Other public
2020-08-23,TfL Tube,5,35,London public
2020-08-23,TfL Bus,"5,7",57.99999999999999,London public
2020-08-23,Bus excl. London,"6,8,9",51,Other public
2020-08-23,Cycling,"10,11",166,Cycling
2020-08-24,Cars,2,92,Cars
2020-08-24,Light Commercial Vehicles,2,102,Logistics
2020-08-24,Heavy Goods Vehicles,2,99,Logistics
2020-08-24,All motor vehicles,2,94,All motor vehicles
2020-08-24,National Rail,"3,4",40,Other public
2020-08-24,TfL Tube,5,32,London public
2020-08-24,TfL Bus,"5,7",56.99999999999999,London public
2020-08-24,Bus excl. London,"6,8,9",45,Other public
2020-08-24,Cycling,"10,11",113.99999999999999,Cycling
2020-08-25,Cars,2,82,Cars
2020-08-25,Light Commercial Vehicles,2,93,Logistics
2020-08-25,Heavy Goods Vehicles,2,95,Logistics
2020-08-25,All motor vehicles,2,85,All motor vehicles
2020-08-25,National Rail,"3,4",38,Other public
2020-08-25,TfL Tube,5,35,London public
2020-08-25,TfL Bus,"5,7",56.00000000000001,London public
2020-08-25,Bus excl. London,"6,8,9",38,Other public
2020-08-25,Cycling,"10,11",44,Cycling
2020-08-26,Cars,2,90,Cars
2020-08-26,Light Commercial Vehicles,2,100,Logistics
2020-08-26,Heavy Goods Vehicles,2,99,Logistics
2020-08-26,All motor vehicles,2,93,All motor vehicles
2020-08-26,National Rail,"3,4",38,Other public
2020-08-26,TfL Tube,5,36,London public
2020-08-26,TfL Bus,"5,7",57.99999999999999,London public
2020-08-26,Bus excl. London,"6,8,9",44,Other public
2020-08-26,Cycling,"10,11",121,Cycling
2020-08-27,Cars,2,87,Cars
2020-08-27,Light Commercial Vehicles,2,96,Logistics
2020-08-27,Heavy Goods Vehicles,2,98,Logistics
2020-08-27,All motor vehicles,2,89,All motor vehicles
2020-08-27,National Rail,"3,4",38,Other public
2020-08-27,TfL Tube,5,32,London public
2020-08-27,TfL Bus,"5,7",53,London public
2020-08-27,Bus excl. London,"6,8,9",41,Other public
2020-08-27,Cycling,"10,11",94,Cycling
2020-08-28,Cars,2,92,Cars
2020-08-28,Light Commercial Vehicles,2,98,Logistics
2020-08-28,Heavy Goods Vehicles,2,97,Logistics
2020-08-28,All motor vehicles,2,93,All motor vehicles
2020-08-28,National Rail,"3,4",38,Other public
2020-08-28,TfL Tube,5,34,London public
2020-08-28,TfL Bus,"5,7",55.00000000000001,London public
2020-08-28,Bus excl. London,"6,8,9",43,Other public
2020-08-28,Cycling,"10,11",66,Cycling
2020-08-29,Cars,2,98,Cars
2020-08-29,Light Commercial Vehicles,2,109.00000000000001,Logistics
2020-08-29,Heavy Goods Vehicles,2,107,Logistics
2020-08-29,All motor vehicles,2,101,All motor vehicles
2020-08-29,National Rail,"3,4",38,Other public
2020-08-29,TfL Tube,5,42,London public
2020-08-29,TfL Bus,"5,7",61,London public
2020-08-29,Bus excl. London,"6,8,9",53,Other public
2020-08-29,Cycling,"10,11",133,Cycling
2020-08-30,Cars,2,102,Cars
2020-08-30,Light Commercial Vehicles,2,115.99999999999999,Logistics
2020-08-30,Heavy Goods Vehicles,2,107,Logistics
2020-08-30,All motor vehicles,2,105,All motor vehicles
2020-08-30,National Rail,"3,4",38,Other public
2020-08-30,TfL Tube,5,39,London public
2020-08-30,TfL Bus,"5,7",59,London public
2020-08-30,Bus excl. London,"6,8,9",59,Other public
2020-08-30,Cycling,"10,11",177,Cycling
2020-08-31,Cars,2,86,Cars
2020-08-31,Light Commercial Vehicles,2,74,Logistics
2020-08-31,Heavy Goods Vehicles,2,46,Logistics
2020-08-31,All motor vehicles,2,82,All motor vehicles
2020-08-31,National Rail,"3,4",32,Other public
2020-08-31,TfL Tube,5,45,London public
2020-08-31,TfL Bus,"5,7",69,London public
2020-08-31,Bus excl. London,"6,8,9",54,Other public
2020-08-31,Cycling,"10,11",131,Cycling
2020-09-01,Cars,2,91,Cars
2020-09-01,Light Commercial Vehicles,2,101,Logistics
2020-09-01,Heavy Goods Vehicles,2,99,Logistics
2020-09-01,All motor vehicles,2,94,All motor vehicles
