Date,ID,Milestone,Detail,URL,summary_of_measure_change,introduced_by,targeted_at,when_introduced_duration,why_stated_aims,how_key_components_and_mechanisms,url_key_docs,category,subcategory,notes,transport_policy
2020-06-03T00:00:00Z,2.19699999999999,NA,NA,NA,Guidance sets out how to self-isolate for 14 days if you arrive in the UK on or after 8 June 2020,Department of Health and Social Care,General public in England,Published 3 June 2020. Came into force 8 June 2020,"When you arrive in the UK, it is very important that you stay in your accommodation for 14 days. It can take up to 14 days for you to develop COVID-19 symptoms after you catch the virus and in this time you can unknowingly pass it on to others, even if you don’t have symptoms.

Self-isolating will reduce the chance of a second wave of coronavirus in the UK and help prevent family, friends and the community from contracting COVID-19, as well as helping to protect the NHS.","Guidance as of 3 June 2020. These rules are for UK residents and all visitors coming into the UK. If you arrive in the UK on or after 8 June 2020, you will not be allowed to leave the place you are staying for the first 14 days in the UK. Before you travel, you should provide your journey, contact details and the address where you will self-isolate. When you arrive in the UK, go straight to the place you are staying. Only use public transport if you have no other option. If you do use public transport, wear a face covering and stay two meters from other people. If necessary, you can stop overnight in safe accommodation before continuing your journey. You should self-isolate in one place for the full 14 days, where you can have necessities delivered, and stay away from others. The people you’re staying with do not need to stay at home, unless they travelled with you. Avoid contact with them and minimise the time you spend in shared spaces. If you do not have any coronavirus symptoms after 14 days, you can stop self-isolating. You will not need to self-isolate for 14 days if you’re travelling to the UK from within the Common Travel Area. A small proportion of people travelling to the UK are exempt (see other guidance for list of exempt people). 

In England, if you do not self-isolate, you can be fined £1,000. If you do not provide an accurate contact detail declaration – or do not update your contact detail form in the limited circumstances where you need to move to another place to self-isolate – you can be fined up to £3,200.",Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-06-03T00:00:00Z,2.19799999999999,NA,NA,NA,The Home Secretary delivers an oral statement to the House of Commons on the introduction of public health measures at the border,Home Secretary,Applies to England,Statement delivered on 3 June 2020. Measures come into force on 8 June 2020.,"Now, the transmission rate in the UK continues to decline, and international travel is likely to resume from its record low. Therefore, the scientific advice is that imported cases of the virus pose a more significant threat to our national effort and our recovery'","From 8 June, arrivals must self-isolate for 14 days, unless exempt. Arrivals to the UK will be required to fill in a Contact Locator Form including details as to where they will isolate and how they can be contacted. The form must be completed in advance of travel to provide details of the journey. Border Force will undertake spot checks at the border and may refuse entry to non-resident nationals who refuse to comply and have the power to impose a £100 fixed penalty notice to those who don’t comply.",Gov.uk_speech,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-06-03T00:00:00Z,2.19899999999999,NA,NA,NA,Guidance on actions for schools during COVID-19 is updated to reflect the decision to move forward with the wider opening of education and childcare settings,Department for Education,Schools in England,Updated 3 June 2020,The government’s five tests have been met',"3 June updates include: (a) information on wider opening of educational settings from 1 June and 15 June; (b) updated information on testing as well as the Test and Trace programme; (c)  further detail on prioritisation of different year groups - phase; (d) guidance on working with staff who are worried about returning to school settings (e) clarification on decisions relating to pupils to repeating a year - it is not currently anticipate that children will need to repeat a year; and other areas.  
",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-03T00:00:00Z,2.19999999999999,NA,NA,NA,Guidance published for higher education providers on when and how to reopen their campuses and buildings,Department for Education,Higher education providers in England,"Published 3 June 2020. Guidance states that it may be updated in future, depending on the scientific advice at that time. Later updated e.g. on 10 June updated section on staff and student wellbeing",To help providers of higher education in England to understand how to minimise risk during the COVID-19 outbreak and provide services to students',"As of 3 June 2020, higher education providers are expected to be open for academic year 2020/21, although there may be some differences from previous years. Guidance provides a practical framework to think about what providers need to do to continue, or restart, operations during the COVID-19 outbreak.",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-04T00:00:00Z,2.20099999999999,NA,NA,NA,Government announces face coverings on public transport to become mandatory from 15 June,Department for Transport and The Rt Hon Grant Shapps MP,General public in England,Published 4 June 2020; takes effect from 15 June 2020,"Transport Secretary Grant Shapps said: 'While respecting social distancing and maintaining good hand hygiene remain the most important steps we can all take to stay safe, wearing a face covering can play a role in helping us to protect each other. This is about the small changes we can take to help control the virus, which is why I urge everyone using transport to wear a face covering, to help keep us all safer.'","Government asks transport operators in England to make wearing face coverings a requirement of using public transport from 15 June 'to coincide with the next stage of carefully easing restrictions'. Applies to bus, coach, train, tram, ferry and aircraft passengers to help reduce the risk of transmission when social distancing is not always possible. Press release says government are also working with operators to ensure staff are provided with face coverings where appropriate.",Gov.uk_news,Measures to limit spread,Social distancing measures,NA,Transport-specific policy
2020-06-05T00:00:00Z,2.20199999999999,NA,NA,NA,Dr Clare Gardiner is seconded to the role of Director General of the Joint Biosecurity Centre (JBC) at the Department of Health and Social Care,Department of Health and Social Care,na,Published 5 June 2020,"Currently Director of National Resilience and Strategy at the National Cyber Security Centre, Dr Gardiner 'has extensive experience in government as well as an academic and research background in medical statistics and epidemiology. She is well placed to build on the initial operating capability of the JBC already delivered'",The press release states that: the Joint Biosecurity Centre brings together 'the UK’s leading data analysis and epidemiological expertise' with the aim of ensuring that outbreaks of COVID-19 are detected and brought under control quickly. The Joint Biosecurity Centre is expected to reach full operating capacity later this summer.,Gov.uk_press release,Measures to limit spread,Other,NA,Wider policies
2020-06-05T00:00:00Z,2.20299999999999,NA,NA,NA,Government announces that face masks and coverings to be worn by all NHS hospital staff and visitors from 15 June,Department of Health and Social Care,All NHS hospital staff and visitors,"Announced 5 June 2020, to implement from 15 June. Guidance will be kept under review.",To help reduce the risk of transmission,"All staff in hospitals in England will be provided with Type 1 or 2 surgical masks and are required to wear them from 15 June – new guidance applies to everyone working in all areas of the hospital. Further guidance for hospitals will be published by 15 June 'to allow hospitals to get stocks and plans in place'. The guidance will be kept under review. Press release says government is working with the social care sector to implement a similar approach. All visitors and outpatients must wear face coverings at all times. The public are 'strongly urged' to attend hospital wearing a face covering, but a face mask will be provided in emergencies.",Government press release,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-06-05T00:00:00Z,2.20399999999999,NA,NA,NA,"Guidance published for GPs, small social care providers and health providers on how to order emergency personal protective equipment from the PPE portal",Department of Health and Social Care,GPs and small social care providers,"Published 5 June 2020. Later updated e.g. on 22 June GPs and small social care providers can now place orders multiple times per week within the limits set out in the guidance, instead of a singular order.",Not stated,"The PPE portal can be used by GPs, residential social care providers with 24 beds or fewer, and domiciliary social care providers with 99 clients or fewer – large social care providers are more likely to be registered with a wholesaler. Eligible providers will be invited via email to register. Guidance sets out order limits, delivery times and cost. Healthcare providers can order additional personal protective equipment (PPE) through the portal to top up their existing supplies for COVID-19 in an emergency.",Government guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-06-06T00:00:00Z,2.20499999999999,NA,NA,NA,"Four more companies join government's ‘Make’ initiative to manufacture PPE, making millions more items available in next few months",Department of Health and Social Care,na,Published 6 June 2020,NA,NA,Gov.uk_press release,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-06-07T00:00:00Z,2.20599999999999,NA,NA,NA,Government announces that places of worship will re-open from 15 June for individual prayer in line with social distancing guidelines,"Ministry of Housing, Communities & Local Government, Stephen Greenhalgh, and The Rt Hon Robert Jenrick MP",General public in England,Published 7 June 2020. Coming into force from 15 June 2020. Guidance will be available shortly.,"Communities Secretary Robert Jenrick said: 'Ensuring places of worship can open again, beginning with individual prayer has been my priority. Their contribution to the common good of our country is clear, as places of solace, comfort, stability and dignity. And the need for them is all the greater as we weather the uncertainties of the pandemic.'","The press release states that: Places of worship across England will be permitted to reopen for individual prayer from Monday 15 June. This decision follows discussions between the government and representatives of major faiths through the Places of Worship Taskforce which the Communities Secretary has chaired.  New guidance will be published shortly to ensure the limited re-opening of places of worship can be done safely and in line with social distancing guidelines. This will recommend the thorough cleaning of shared spaces, hand cleansing at entry and exit and asking worshippers to bring their own items such as a prayer mat or religious text instead of sharing or using communal ones. Individual prayer will be permitted from 15 June, but communally led prayer, worship or devotion such as services, evensong, informal prayer meetings, Mass, Jummah or Kirtan will not be possible at this stage.",Gov.uk_press release,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-07T00:00:00Z,2.20699999999999,NA,NA,NA,Guidance for British people travelling overseas during the pandemic is updated with the new rules for entering the UK (providing contact details and self-isolating) that come into force on 8 June,Foreign & Commonwealth Office,British people travelling overseas,Updated 7 June 2020.,NA,NA,Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-06-07T00:00:00Z,2.20799999999999,NA,NA,NA,Government announces it has met its target to offer COVID-19 tests to every care home for over-65s,Department of Health and Social Care,Care homes for over-65s,Announced 7 June 2020 (target for 6 June set in Our Plan to Rebuild on 11 May),To ensure every care home has the support it needs; testing asymptomatic workers and residents helps prevent and control outbreaks,"Press release states that all eligible care homes for over-65s will have received test kits regardless of symptoms. The government sent test kits to all eligible care homes unless they stated they did not want to receive them. Test results for residents to be communicated to the care home managers. States that tens of thousands of care home workers and residents have also been tested by PHE or at drive-through testing sites and mobile testing units, as well as testing kits set direct to care homes. Additionally, care home workers have received test kits to their own homes through the employer and employee portal.",Government press release,Measures to limit spread,"Monitoring, Testing",NA,Wider policies
2020-06-08T00:00:00Z,2.20899999999999,NA,NA,NA,New regulations come into force requiring transport operators to ensure that passengers travelling to England from outside the common travel area are provided with information on the latest public health advice and related duties,Department for Transport,Transport operators,NA,NA,NA,Gov.uk_publication,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-06-08T00:00:00Z,2.20999999999999,NA,NA,NA,New rules for entering the UK (providing contact details and self-isolating for 14 days) come into effect,Department of Health and Social Care,UK arrivals,Applies to arrivals in the UK on or after 8 June 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-06-08T00:00:00Z,2.21099999999999,NA,NA,NA,Whole home testing of residents and staff (regardless of symptoms) is expanded to adult care homes for under-65s,Department of Health and Social Care,All care homes (expanded to under-65s),Announced 8 June 2020,Not stated,"Whole care home testing expanded to adult care homes for under-65s, including those for people with learning disabilities or mental health problems, regardless of symptoms. Expanded from initial prioritisation of care homes for the over-65s and those caring for people with dementia. Approximately 6,250 care homes now eligible for whole care home testing.",Government press release,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-06-08T00:00:00Z,2.21199999999999,NA,NA,NA,"Government announces new social care sector COVID-19 support taskforce to continue supporting the care sector and prevent further transmission, chaired by David Pearson",Department of Health and Social Care,Social care sector,Announced 8 June 2020,To continue providing support for social care and to tackle the further spread of COVID-19,"A new taskforce, with representatives from across government and the care sector, has been set up to oversee the implementation of the government’s social care action plan and care home support package. Press release states the taskforce will also advise on a plan to support the sector through the next year. Former president of ADASS and Director of Adult Social Care of DHSC, David Pearson appointed as chair. Taskforce will oversee delivery of the care home support package's infection control measures, delivery of testing programmes, and workforce deployment.",Government press release,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-06-09T00:00:00Z,2.21299999999999,NA,NA,NA,Guidance published outlining the measures that the Infection Control Fund will support in adult social care to reduce the rate of COVID-19 transmission in and between care homes and support wider workforce resilience,Department of Health and Social Care,Adult social care providers,Published 9 June 2020,"This document has been prepared in response to a number of questions received from local government and care providers, following the introduction of the Adult Social Care Ingection Control Fund.","As of 9 June, guidance states the primary purpose of the fund is to support adult social care providers, but a small percentage may be used to support domiciliary care providers, and wider workforce resilience to deal with COVID-19 infections. Funding will be paid in two tranches: May and July. Fund can be used to pay for continuation of infection control measures already in place. 75% of the grant must be allocated to support the following measures in care homes: 1) ensure staff in isolation receive normal wages; 2) to ensure as much as possible staff members work in only one care home; 3) limiting staff to individual groups of residents or floors/wings; 4) to support active recruitment of additional staff if needed; 5) steps to limit staff use of public transport; 6) provide accommodation for staff who choose to separate from family. Fund cannot be used to address general financial pressures or cover costs of activity completed before fund announced. Local authorities can use 25% of the grant on other COVID-19 infection control measures, including payments to domiciliary care providers or wider workforce measures, such as purchasing PPE or measures to boost resilience and supply of workforce.",Gov.uk_guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-06-09T00:00:00Z,2.21399999999999,NA,NA,NA,Government announce shops in England selling non-essential goods will be able to reopen from Monday 15 June,"Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",General public in England,Published 9 June 2020. Coming into force 15 June 2020,"Business Secretary confirmed the UK continues to meet the five tests set out in the Prime Minister’s roadmap, meaning it is safe to continue gradually reopening parts of the economy.","All non-essential retail shops to reopen from Monday 15 June, provided they follow government COVID-19 secure guidelines on safety. Businesses should display a notice to inform customers and staff they have followed COVID-secure guidance. Steps to protect staff and customers include limiting number of customers allowed at one time, placing protecting coverings on large items that customers may touch, and frequently cleaning objects and surfaces.",Gov.uk_press release,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-10T00:00:00Z,2.21499999999999,NA,NA,NA,Government announces that single adult households will be able to join with one other household - called a 'support bubble' - from 13 June. Guidance on 'meeting people from outside your household' is updated,Department of Health and Social Care,General public in England,Published 10 June 2020. Support bubble for single adult households comes into effect from 13 June 2020.,"We are making this change to support the loneliest and most isolated. It is a targeted intervention to provide extra support to some of those most impacted by the most difficult effects of the current social restrictions, while ensuring we continue to keep the rate of transmission down'","As of 13 June, the updated guidance says: a single adult household can form a support bubble with one other household - spending time together indoors, overnight, without needing to stay 2 meters apart. People must not: meet others outside their own social bubble indoors; meet in groups of more than 6 people outdoors; form a support bubble if neither household is a single adult household; stay overnight in a household not in your support bubble. The wording of the guidance for meeting family and friends outdoors (in groups of up to 6 people) is updated to reflect social bubbles (e.g. 'limit your interactions with people outside of your household or your support bubble'). Key principles for support bubbles with another household: they must be exclusive (only form a support bubble with one other household and do not change or add to your support bubble once formed); if someone in the bubble shows symptoms, everyone within the bubble should then stay home. You can have close physical contact with members of support bubble if you and they want to. No limit on how far you can travel to meet members of support bubble. Must continue to adhere to social distancing guidelines in full with other households. Government cannot advise anyone who is shielding to form a support bubble at this stage.",Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Transport-specific policy
2020-06-11T00:00:00Z,2.21599999999999,NA,NA,NA,Guidance published for safer travel and working principles for airports and aviation operators,Department for Transport,Aviation industry in the UK,Published 11 June 2020. Guidance later updated eg on 15 June to reflect the new requirement for passengers to wear face coverings on aircraft in England.,To 'help the aviation industry manage risks from coronavirus (COVID-19) and provide safer workplaces and services for workers and passengers',"Guidance as of 15 June states: Key principles of how to protect transmission of COVID-19 include: robust social distancing; regular cleaning; good hand and respiratory hygiene. Communication with passengers should reinforce their personal responsibility for safety. Guidance should be used to ensure risk assessments address risks of COVID-19 and incorporates decisions and control measures suitable for the aviation industry. In the following order of priority, risks should be: eliminated; controlled through substituting materials or processes, control through engineering; controlled though identifying and implementing procedures; controlled through using individual protective measures. Passengers must wear a face covering on board aircrafts in England and should wear them in airports. 
Document outlines measures at each stage of passenger journey, including: booking a flight; online check in; travelling to airport; at the airport; security checkpoints; on board; embarkation and disembarkation; on arrival; and leaving the airport.

",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Transport-specific policy
2020-06-11T00:00:00Z,2.21699999999999,NA,NA,NA,Guidance published on how to travel safely in airports and on aircraft during the COVID-19 outbreak,Department for Transport,General Public,Published 11 June 2020. Guidance later updated eg on 15 June to reflect the new requirement for passengers to wear face coverings on aircraft in England.,Not stated,"Guidance as of 15 June states passengers should: avoid the busiest times and routes; keep two metres apart where possible; minimise time spend near others; wash or sanitise hands regularly. Passengers should not travel: if experiencing COVID-19 symptoms, self-isolating, sharing household within someone with symptoms in last 14 days, or has been advised by the NHS test and trace service to self- isolate.
Passengers must wear a face covering on board an aircraft in England, and should wear one in airports. Before booking a flight, understand the public health requirements of destination country. Where possible, check-in online. Enter the airport on your own, unless flying with members of your household. Avoid touching surfaces in the airport. Each airline will advise you on measures in place for the flight. When entering UK from outside the Common Travel Area - must provide journey and contact details beforehand and self-isolate.

",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Transport-specific policy
2020-06-11T00:00:00Z,2.21799999999999,NA,NA,NA,NHS Test and Trace statistics are published for the first time reflecting the first week of operation of the contact tracing element of NHS Test and Trace,Department of Health and Social Care,na,Published 11 June 2020,Not stated,The data published reflects the first week of operation of the contact tracing element of NHS Test and Trace. They include contact tracing undertaken: online; by local health protection teams; and by contact tracing staff.,Gov.uk_statistics,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-06-11T00:00:00Z,2.21899999999999,NA,NA,NA,"Guidance published for local authorities about the 'Local authority test and trace service support grant', including grant allocations, grant conditions, and processes to support local outbreak planning",Department of Health and Social Care,Local authorities,Published 11 June 2020,"Purpose of grant is to provide support to local authorities towards expenditure lawfully incurred or to be incurred in relation to the mitigation against and management of local outbreaks of COVID-19.
Minister for Patient Safety, Suicide Prevention and Mental Health, Nadine Dorries, said: 'Local authorities play a vital role in the effort to contain COVID-19 in their communities. The funding awarded today will help each local area work hand in hand with Public Health England and contact tracers to focus on the containment of local outbreaks, to control the transmission of this virus.'","Local authorities across England have been allocated a share of £300m to support the new Test and Trace service. The funding will help local authorities develop tailored outbreak control plans, working with the service, their local NHS and other stakeholders. The Minister of State determines which local authorities the grant is to be paid to and the amount of grant to be paid. Funding has been allocated to councils based on need, with additional funding provided for communities with lower incomes and higher demand for local healthcare settings. The grant shall be payable in one instalment in June 2020. In 2-tier areas, this grant is conditional on upper tier authorities working closely with their lower tier partners. Data on the spread of the virus will be shared with local authorities through the Joint Biosecurity Centre to inform local outbreak planning. A new National Local Government Advisory Board has been established to work with NHS Test and Trace - will share best practice between communities across the country.",Gov.uk_guidance,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-06-12T00:00:00Z,2.21999999999999,NA,NA,NA,Guidance to help places of worship prepare to open for individual prayer on 13 June,"Ministry of Housing, Communities & Local Government",Places of worship,Published 12 June 2020. Coming into force 13 June 2020,Not stated,"Guidance as of 12 June. Under current law places of worship are permitted to open for: funerals; to broadcast acts of worship; to provide essential or urgent services or childcare. From 13 June 2020 they will also be open for individual prayer. Key principles for reopening place of worship: those with COVID-19 symptoms should remain at home and self-isolate; those shielding should continue to follow government advice; if anyone becomes unwell with COVID-19 symptoms, they should be sent home; strict adherence to 2 metres rule; manage queues carefully; extra attention to cleaning; shared washing areas should be closed. Worshippers and staff may wear face coverings to offer protection to others, but not as a replacement for the other ways of managing risk. Strongly advised that individuals: be prevented from touching devotional and other communal objects; avoid touching property belonging to others; avoid activities such as singing or playing instruments; do not have access to food or drink; and be discouraged from cash giving.",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-12T00:00:00Z,2.22099999999999,NA,NA,NA,"Guidance on infection prevention and control updated to reflect new recommendations for hospitals in England coming into force from 15 June, including that all hospital staff should wear a face mask when not in a 'secure zone' and all visitors should wear a face covering",Public Health England,Hospitals,"Published 10 June 2020, updated 12 June 2020",Not stated,"Updated guidance as of 15 June states: hospitals should ensure that measures are in place so that all settings are, where practicable, COVID-secure, using social distancing, optimal hand hygiene, frequent surface decontamination, ventilation and other measures where appropriate. Where this is not possible, all staff should wear a facemask (recommended Type I or Type II, but Type IIR may be used). Visitors and outpatients should wear a face covering for the same reason.

",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-06-12T00:00:00Z,2.22199999999999,NA,NA,NA,Government state that passengers who don't follow the new rules on face coverings will not be allowed to travel on public transport,Department for Transport and The Rt Hon Grant Shapps MP,General Public,Published 12 June 2020. Coming into force 15 June 2020,"The Scientific Advisory Group for Emergencies (SAGE) has set out that using face coverings as a precautionary measure in this setting can provide some additional protection to fellow passengers and can help people to avoid unknowingly spreading the virus if they have it, but are not showing symptoms.","From 15 June 2020 everyone must wear a face covering when using public transport (face coverings mandatory on buses, coaches, trams, ferries, aircraft and trains). Operators can prevent passengers who refuse to follow the rules from travelling and police can issue fines of £100. Over several days, starting Monday 15 June, face coverings will be handed out free of charge at many locations across the rail network in England. Exemptions for the use of face coverings apply to those with certain health conditions, disabled people and children under the age of 11. Advice remains to avoid public transport where possible.",Gov.uk_news,Measures to limit spread,Infection prevention and control,NA,Transport-specific policy
2020-06-13T00:00:00Z,2.22299999999999,NA,NA,NA,Places of worship open for individual prayer,"Ministry of Housing, Communities & Local Government",Places of worship,NA,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-13T00:00:00Z,2.22399999999999,NA,NA,NA,New rule on 'support bubbles' for single adult households comes into effect,Department of Health and Social Care,General public in England,Introduced 13 June 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-06-15T00:00:00Z,2.22499999999999,NA,NA,NA,"Face coverings become mandatory on buses, coaches, trams, ferries, aircraft and trains",Department for Transport and The Rt Hon Grant Shapps MP,General public,Introduced 15 June 2020,NA,NA,Gov.uk_news,Measures to limit spread,Infection prevention and control,NA,Transport-specific policy
2020-06-15T00:00:00Z,2.22599999999999,NA,NA,NA,New rules on wearing masks and face coverings in hospitals comes into effect,NA,Hospitals in England,Introduced 15 June 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-06-15T00:00:00Z,2.22699999999999,NA,NA,NA,Shops selling non-essential goods open  in England,"Department for Business, Energy & Industrial Strategy",General public in England,Introduced 15 June 2020,NA,NA,Gov.uk_press release,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-15T00:00:00Z,2.22799999999999,NA,NA,NA,"Guidance for secondary schools updated to reflect that they can now welcome year 10 and year 12 pupils in for some face-to-face support. It also confirms that where possible, schools may invite pupils in other year groups in for a meeting this term",Department for Education,Secondary schools,Updated 15 June 2020. New measures come into effect 15 June 2020.,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-16T00:00:00Z,2.22899999999999,NA,NA,NA,Guidance for educational and childcare settings to prepare for wider opening from 1 June 2020 is updated to state that primary schools can use flexibility to focus first on continuing to provide places for priority groups when welcoming back additional pupils this term,Department for Education,Educational and childcare settings,Updated 16 June 2020,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-06-18T00:00:00Z,2.22999999999999,NA,NA,NA,Government announces next phase of development in building an app that supports the NHS Test and Trace service which will bring together the existing NHS app and the Google/Apple framework,Department of Health and Social Care,na,Announced 18 June 2020,"Following rigorous field testing and a trial on the Isle of Wight, we have identified challenges with both our app and the Google/Apple framework [...] Therefore further work to address these challenges is required.'","Following a trial on the Isle of Wight, challenges have been identified with the app that aims to support the end-to-end NHS Test and Trace service. The government will be working with Google/Apple ‘to address some of the specific technical challenges identified through our rigorous testing’ of the app’. 
A joint statement from Baroness Dido Harding, Executive Chair of NHS Test and Trace and Matthew Gould, CEO, NHSX says ‘our ambition is to develop an app which will enable anyone with a smartphone to engage with every aspect of the NHS Test and Trace service, from ordering a test through to accessing the right guidance and advice. This will support our vision of helping more people get back to the most normal life possible at the lowest risk’.
Health and Social Care Secretary Matt Hancock says ‘as we enter this next phase of research and development we remain determined to continue in our ambition to develop an app which meets the technical, security and user needs of the public and which can complement the NHS Test and Trace service’. 
",Gov.uk_press release,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-06-18T00:00:00Z,2.23099999999999,NA,NA,NA,"The Joint Committee on Vaccination and Immunisation publishes interim advice on the groups that should be prioritised for vaccination, if and when a vaccine is available",Department of Health and Social Care,na,Interim findings published,NA,NA,Gov.uk_Independent report,Measures to limit spread,Vaccine,NA,Wider policies
2020-06-19T00:00:00Z,2.23199999999999,NA,NA,NA,"The guidance on the admission and care of people in care homes updated to be in line with the care homes support package and latest advice on testing, and infection prevention and control","Department of Health and Social Care, Care Quality Commission, Public Health England, and NHS England",Care homes,Updated 19 June 2020,"Updated so that the guidance was in line with the care homes support package and the latest guidance on testing, infection prevention and control","As of 19 June 2020, guidance updated in line with the care homes support package and the latest guidance on testing, infection prevention and controlincludes measures. Measures include: All residents being discharged from hospital or interim care facilities to the care home, and new residents admitted from the community, should be isolated for 14 days within their own room; Any resident presenting with symptoms of COVID-19 should be promptly isolated; Residents who are known to have been exposed to a person with possible or confirmed COVID-19 should be isolated (or cohorted); Staff who has had a specific ‘close contact’ with someone who tests positive for COVID-19 will be expected to isolate themselves for 14 days (except in scenarios where appropriate PPE has been worn).",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-06-22T00:00:00Z,2.23299999999999,NA,NA,NA,Government announce plans to ease guidance for over two million shielding people from 6 July 2020,"Ministry of Housing, Communities & Local Government and Department of Health and Social Care",Shielding group,Announced 22 June 2020. Changes come into effect on 6 July 2020 and 1 August 2020.,"Advisory guidance to be eased for 2.2 million clinically extremely vulnerable people across England, as virus infection rates continue to fall","From 6 July 2020, those shielding from COVID-19 can gather in groups of up to 6 people outdoors and form a ‘support bubble’ with another household. The government shielding support package will remain in place until the end of July when people will no longer be advised to shield. 

From 1 August 2020, shielding people will no longer be advised to shield, but support will remain available from NHS volunteers and local councils. People will retain their priority for supermarket delivery slots, and still be able to access help with shopping, medication, phone calls and transport to medical appointments. While this group of clinically extremely vulnerable people should continue to follow strict social distancing measures, they will be able to participate in more activities such as visiting shops and places of worship.

From 1 August, those who need to work and cannot do so from home will be able to return to work as long as their workplace is COVID secure, adhering to the guidance available.",Gov.uk_press release,Measures to limit spread,Shielding measures,NA,Wider policies
2020-06-23T00:00:00Z,2.23399999999999,NA,NA,NA,"Guidance published on meeting people from outside your household from 4 July, including that you can meet in a group of two households (including your support bubble), in any location – public or private, indoors or outdoors",Department of Health and Social Care,General public in England,Published 23 June 2020. Guidance will apply from 4 July.,The government says it recognises how difficult it has been for people to be cut off from friends and family.,"Guidance on how to protect yourself and others when meeting people from other households from 4 July 2020. From 4 July you can meet in a group of two households in any location - public or private, or indoors or outdoors. It does not have to be the same household each time. It remains the case that people should socially distance from anyone not in your household of bubble.

From 4 July people should: only gather indoors in groups of no more than two households, even when dining out or going to the pub; only gather outdoors in groups of up to six people from different households or up to two households; only gather in larger groups of up to 30 for life events; not hold or attend celebrations when it is difficult to maintain social distancing; not stay overnight away from home with members of more than two households; limit the number of people you see; and limit social interactions with anyone outside the group you are attending a place with. Gatherings of more than 30 people will be banned. People can travel to meet people irrespective of distance but should continue to avoid using public transport wherever possible.

Key principles to follow to minimise risk of spreading infection: do not visit another household or allow others into your household if you have COVID-19 symptoms; check if guests have symptoms; follow strict social distancing guidelines with anyone outside your household or bubble; wash hands regularly; access private gardens externally where possible; avoid using toilets in other people’s home; clean surfaces regularly; avoid sharing plates and utensils; and avoid using paddling pools and garden equipment with people outside your household or bubble.",Gov.uk_guidance,Measures to limit spread,Social distancing measures,NA,Transport-specific policy
